ranks,channel_info,influence_score,total_post,followers_clean,avg_likes_clean,60_eng_rate_clean,post_avg_like_clean,total_likes_clean,country
1,cristiano,92,3300,475800000,475800000,0.000139,6500000,29000000000,Spain
2,kyliejenner,91,6900,366200000,366200000,0.000162,5900000,57400000000,United States
3,leomessi,90,890,357300000,357300000,0.000124,4400000,6000000000,Unknown
4,selenagomez,93,1800,342700000,342700000,0.000097,3300000,11500000000,United States
5,therock,91,6800,334100000,334100000,0.00002,665300,12500000000,United States
6,kimkardashian,91,5600,329200000,329200000,0.000088,2900000,19900000000,United States
7,arianagrande,92,5000,327700000,327700000,0.00012,3900000,18400000000,United States
8,beyonce,92,2000,272800000,272800000,0.000076,2000000,7400000000,United States
9,khloekardashian,89,4100,268300000,268300000,0.000035,926900,9800000000,United States
10,justinbieber,91,7400,254500000,254500000,0.000059,1500000,13900000000,Canada
11,kendalljenner,90,660,254000000,254000000,0.000204,5100000,3700000000,United States
12,natgeo,91,10000,237000000,237000000,0.000007,159300,3000000000,United States
13,nike,90,950,234100000,234100000,0.000008,181800,313600000,United States
14,taylorswift,91,530,222200000,222200000,0.000101,2300000,1300000000,United States
15,jlo,89,3200,220400000,220400000,0.000062,1400000,5300000000,United States
16,virat.kohli,87,1400,211800000,211800000,0.000096,2000000,4900000000,Unknown
17,nickiminaj,90,6400,201600000,201600000,0.000053,1000000,13500000000,United States
18,kourtneykardash,89,4400,195200000,195200000,0.000067,1300000,7700000000,United States
19,mileycyrus,89,1200,181500000,181500000,0.000051,913600,1600000000,Unknown
20,neymarjr,90,5300,177100000,177100000,0.000109,1900000,14100000000,Brazil
21,katyperry,92,2000,170300000,170300000,0.000016,265100,1500000000,Unknown
22,kevinhart4real,88,8200,152000000,152000000,0.000008,115200,4300000000,United States
23,zendaya,87,3500,150700000,150700000,0.000317,4800000,20600000000,United States
24,iamcardib,75,1600,140500000,140500000,0.00011,1500000,5000000000,United States
25,ddlovato,88,80,139100000,139100000,0.000027,363400,91300000,United States
26,badgalriri,88,4800,135300000,135300000,0.000002,FALSE,17900000000,United States
27,kingjames,86,2300,130900000,130900000,0.000092,1200000,4900000000,Unknown
28,theellenshow,87,10000,125100000,125100000,0.000007,81700,4200000000,United States
29,realmadrid,90,6900,123400000,123400000,0.000048,588300,6800000000,Spain
30,champagnepapi,85,5200,119600000,119600000,0.00011,1300000,9000000000,Netherlands
31,chrisbrownofficial,86,7300,118500000,118500000,0.000022,255900,3400000000,United States
32,fcbarcelona,90,10000,111400000,111400000,0.000064,706300,11600000000,Unknown
33,billieeilish,73,690,105200000,105200000,0.000502,5200000,5900000000,Unknown
34,dualipa,74,1300,85900000,85900000,0.000126,1100000,2600000000,United Kingdom
35,gal_gadot,85,1700,85600000,85600000,0.000069,586500,2300000000,United States
36,vindiesel,88,1800,82300000,82300000,0.00006,482300,2500000000,United States
37,nasa,88,3600,81300000,81300000,0.000153,1200000,4200000000,United States
38,priyankachopra,85,3600,81100000,81100000,0.0001,802900,5600000000,United States
39,lalalalisa_m,70,870,80900000,80900000,0.0009,7200000,5100000000,Unknown
40,Shakira,88,2000,76100000,76100000,0.000041,304700,1900000000,Unknown
41,snoopdogg,86,10000,75300000,75300000,0.000017,125800,2000000000,Unknown
42,gigihadid,85,3300,75300000,75300000,0.000256,1900000,8200000000,United States
43,davidbeckham,86,1500,74900000,74900000,0.000046,340900,1900000000,United States
44,shraddhakapoor,81,1900,73900000,73900000,0.000117,859900,3000000000,Unknown
45,victoriassecret,88,2900,73200000,73200000,0.000004,29800,423500000,United States
46,k.mbappe,86,1200,72700000,72700000,0.000216,1600000,2800000000,Unknown
47,nehakakkar,84,2300,70400000,70400000,0.000054,370100,3500000000,India
48,nba,87,12900,70100000,70100000,0.000028,196900,4800000000,United States
49,shawnmendes,83,2500,69900000,69900000,0.000287,2000000,8800000000,Canada
50,jennierubyjane,76,860,68900000,68900000,0.000836,5700000,4400000000,Unknown
51,narendramodi,85,540,68900000,68900000,0.000301,2000000,1600000000,India
52,aliaabhatt,82,1800,68700000,68700000,0.000314,2100000,3300000000,India
53,deepikapadukone,83,260,68400000,68400000,0.000223,1500000,419000000,India
54,tomholland2013,77,1200,67700000,67700000,0.001083,7300000,6600000000,Unknown
55,ronaldinho,78,2900,67700000,67700000,0.000049,325700,2600000000,Brazil
56,emmawatson,87,340,67300000,67300000,0.000001,FALSE,639000000,United States
57,bts.bighitofficial,78,1200,66900000,66900000,0.00054,3600000,4900000000,Uruguay
58,katrinakaif,85,1000,66300000,66300000,0.000225,1500000,1700000000,India
59,marvel,82,7000,66200000,66200000,0.000051,339000,2300000000,Turkey
60,justintimberlake,87,780,65900000,65900000,0.00003,189400,470700000,United States
61,camila_cabello,77,2900,65000000,65000000,0.000219,1400000,5400000000,United States
62,willsmith,82,1400,63900000,63900000,0.000002,FALSE,1900000000,United States
63,raffinagita1717,83,17500,63500000,63500000,0.000058,366600,6800000000,Indonesia
64,anitta,82,5100,63100000,63100000,0.000069,426200,4400000000,United States
65,sooyaaa__,82,830,62900000,62900000,0.000943,5900000,3800000000,Unknown
66,maluma,84,8200,62800000,62800000,0.000112,696300,9800000000,Colombia
67,akshaykumar,85,1900,62800000,62800000,0.000101,624900,2900000000,Unknown
68,jacquelinef143,85,2400,62700000,62700000,0.000115,718800,2800000000,India
69,psg,86,10000,61900000,61900000,0.000052,322200,5000000000,France
70,roses_are_rosie,82,820,61800000,61800000,0.000972,6000000,3800000000,Unknown
71,manchesterunited,85,9900,59600000,59600000,0.000041,241600,3800000000,United Kingdom
72,anushkasharma,85,1200,59500000,59500000,0.000234,1400000,2200000000,Unknown
73,whinderssonnunes,79,2700,58700000,58700000,0.000058,323100,4400000000,Brazil
74,9gag,86,10000,58100000,58100000,0.000044,248600,6700000000,United States
75,marcelotwelve,86,2700,58100000,58100000,0.000078,448300,1900000000,Brazil
76,milliebobbybrown,80,280,57600000,57600000,0.000863,5000000,1100000000,United States
77,karimbenzema,42,2000,56900000,56900000,0.000162,918900,1800000000,Spain
78,chrishemsworth,86,880,55900000,55900000,0.000369,2100000,2500000000,Australia
79,karolg,83,3300,55600000,55600000,0.001025,5700000,10100000000,India
80,paulpogba,80,1300,55200000,55200000,0.000085,462600,1800000000,France
81,iamzlatanibrahimovic,86,870,55100000,55100000,0.000153,837100,1300000000,Unknown
82,leonardodicaprio,86,1700,54600000,54600000,0.00002,107600,669300000,Unknown
83,juventus,87,10000,54500000,54500000,0.000025,135500,1900000000,Unknown
84,zacefron,86,660,54500000,54500000,0.000818,4400000,1500000000,United States
85,bellahadid,79,3200,54100000,54100000,0.000206,1100000,3600000000,United Kingdom
86,tatawerneck,86,5600,53900000,53900000,0.000051,266500,5400000000,Brazil
87,beingsalmankhan,76,1200,53500000,53500000,0.000133,693900,1600000000,India
88,robertdowneyjr,86,420,53400000,53400000,0.000205,1100000,1300000000,United States
89,sunnyleone,84,4600,53400000,53400000,0.000057,301300,3500000000,Unknown
90,ladygaga,83,3600,53200000,53200000,0.000102,531600,5100000000,United States
91,dishapatani,74,2100,53000000,53000000,0.000185,971700,3400000000,United States
